"Player","Team","Position","From","To","Date (EST)","Period"
"John Collins","UTA","<b>PF</b>,F,C","Freshly Washed Kings","Ball Don't Lie","Mon Feb 10, 2025, 6:00PM","112"
"Kristaps Porzingis","BOS","<b>PF</b>,F,C","BKs Whoppers","Twin Towers","Mon Feb 10, 2025, 6:00PM","112"
"Jordan Poole","WAS","PG,<b>SG</b>,G","Twin Towers","BKs Whoppers","Mon Feb 10, 2025, 6:00PM","112"
"Daniel Gafford","DAL","<b>PF</b>,F,C","BKs Whoppers","Twin Towers","Mon Feb 10, 2025, 6:00PM","112"
"Yves Missi","NO","<b>C</b>","Twin Towers","BKs Whoppers","Mon Feb 10, 2025, 6:00PM","112"
"Jamal Murray","DEN","<b>PG</b>,SG,G","Only Franz","Twin Towers","Thu Jan 30, 2025, 6:00PM","101"
"Coby White","CHI","<b>PG</b>,SG,G","Twin Towers","Only Franz","Thu Jan 30, 2025, 6:00PM","101"
"Nicolas Claxton","BKN","<b>C</b>","Twin Towers","Only Franz","Thu Jan 30, 2025, 6:00PM","101"
"Zach LaVine","CHI/SAC","<b>SG</b>,G,SF,F","Ball Don't Lie","Burner account","Mon Jan 27, 2025, 6:00PM","98"
"Paul George","PHI","SG,G,<b>SF</b>,PF,F","Burner account","Ball Don't Lie","Mon Jan 27, 2025, 6:00PM","98"
"Jrue Holiday","BOS","<b>PG</b>,SG,G","Burner account","Ball Don't Lie","Mon Jan 27, 2025, 6:00PM","98"
"Bradley Beal","PHO","<b>SG</b>,G,SF,F","Burner account","Ball Don't Lie","Mon Jan 27, 2025, 6:00PM","98"
"Mikal Bridges","NY","SG,G,<b>SF</b>,PF,F","Always Droppin Dimes","Burner account","Wed Jan 22, 2025, 6:30PM","93"
"James Harden","LAC","PG,<b>SG</b>,G","Burner account","Always Droppin Dimes","Wed Jan 22, 2025, 6:30PM","93"
"Bobby Portis","MIL","<b>PF</b>,F,C","Freshly Washed Kings","Always Droppin Dimes","Tue Dec 31, 2024, 2:00PM","71"
"Joel Embiid","PHI","<b>C</b>","Ice Trae","Pure Sweat Fam","Fri Nov 8, 2024, 6:00PM","18"
"Bam Adebayo","MIA","PF,F,<b>C</b>,Flx","Pure Sweat Fam","Ice Trae","Fri Nov 8, 2024, 6:00PM","18"
"Ivica Zubac","LAC","<b>C</b>","Kentucky Fried Guards","Twin Towers","Wed Oct 30, 2024, 6:00PM","9"
"Mark Williams","CHA/LAL","<b>C</b>","Twin Towers","Kentucky Fried Guards","Wed Oct 30, 2024, 6:00PM","9"
"Andrew Nembhard","IND","PG,<b>SG</b>,G","Twin Towers","Kentucky Fried Guards","Wed Oct 30, 2024, 6:00PM","9"
"Mikal Bridges","NY","SG,G,<b>SF</b>,PF,F","BKs Whoppers","Always Droppin Dimes","Mon Oct 21, 2024, 11:05PM","1"
"Wendell Carter","ORL","PF,F,<b>C</b>","Only Franz","Always Droppin Dimes","Mon Oct 21, 2024, 11:05PM","1"
"Clint Capela","ATL","<b>C</b>","Always Droppin Dimes","Burner account","Mon Oct 21, 2024, 11:05PM","1"
"Jrue Holiday","BOS","<b>PG</b>,SG,G","Always Droppin Dimes","Burner account","Mon Oct 21, 2024, 11:05PM","1"
"Bradley Beal","PHO","<b>SG</b>,G,SF,F","Always Droppin Dimes","Burner account","Mon Oct 21, 2024, 11:05PM","1"
"Kawhi Leonard","LAC","SG,G,<b>SF</b>,PF,F","Burner account","Always Droppin Dimes","Mon Oct 21, 2024, 11:05PM","1"
"Donte DiVincenzo","MIN","<b>SG</b>,G,SF,F","Ball Don't Lie","Burner account","Mon Oct 21, 2024, 11:05PM","1"
"Jerami Grant","POR","SF,<b>PF</b>,F","BKs Whoppers","Ball Don't Lie","Mon Oct 21, 2024, 11:05PM","1"
"Daniel Gafford","DAL","<b>PF</b>,F,C","Ball Don't Lie","BKs Whoppers","Mon Oct 21, 2024, 11:05PM","1"
"Devin Booker","PHO","PG,<b>SG</b>,G,SF,F","Freshly Washed Kings","Twin Towers","Mon Oct 21, 2024, 11:05PM","1"
"Lonzo Ball","CHI","<b>PG</b>,G","Twin Towers","Freshly Washed Kings","Mon Oct 21, 2024, 11:05PM","1"
"Darius Garland","CLE","<b>PG</b>,G","Twin Towers","Freshly Washed Kings","Mon Oct 21, 2024, 11:05PM","1"
"Keegan Murray","SAC","<b>SF</b>,PF,F","Twin Towers","Freshly Washed Kings","Mon Oct 21, 2024, 11:05PM","1"
"2024 Draft Pick, Round 1 (Freshly Washed Kings)","","","Twin Towers","Freshly Washed Kings","Mon Oct 21, 2024, 11:05PM","1"
"Mitchell Robinson","NY","<b>C</b>","Always Droppin Dimes","BKs Whoppers","Mon Oct 21, 2024, 11:05PM","1"
"2024 Draft Pick, Round 2 (Ice Trae)","","","Always Droppin Dimes","BKs Whoppers","Mon Oct 21, 2024, 11:05PM","1"
"Clint Capela","ATL","<b>C</b>","BKs Whoppers","Always Droppin Dimes","Mon Oct 21, 2024, 11:05PM","1"
"Jaylen Brown","BOS","SG,G,<b>SF</b>,F","Freshly Washed Kings","Only Franz","Mon Oct 21, 2024, 11:05PM","1"
"Cameron Johnson","BKN","SF,<b>PF</b>,F","Freshly Washed Kings","Only Franz","Mon Oct 21, 2024, 11:05PM","1"
"Taylor Hendricks","UTA","<b>PF</b>,F","Only Franz","Freshly Washed Kings","Mon Oct 21, 2024, 11:05PM","1"
"Jaime Jaquez","MIA","SG,G,<b>SF</b>,F","Only Franz","Freshly Washed Kings","Mon Oct 21, 2024, 11:05PM","1"
"2024 Draft Pick, Round 2 (Freshly Washed Kings)","","","Only Franz","Freshly Washed Kings","Mon Oct 21, 2024, 11:05PM","1"
"Desmond Bane","MEM","<b>SG</b>,G,SF,F","BKs Whoppers","Twin Towers","Mon Oct 21, 2024, 11:05PM","1"
"2024 Draft Pick, Round 1 (Twin Towers)","","","Twin Towers","BKs Whoppers","Mon Oct 21, 2024, 11:05PM","1"
